"sampleid","date","site","plot","vegplot_area_cm2","LAI","chlorophyll","brown","junc_live_cover","spal_live_cover","dead_cover","bare_cover","avg_thatch_ht_cm","water_depth_cm","spal_tot_live_stem_ht_cm","spal_live_stem_count","junc_tot_live_stem_ht_cm","junc_live_stem_count","notes","zone","survey","stemsm2","species","live_stem_count","dead_stem_count","live__stem_cm","live_stem_g","dead_stem_g","TotalBG_0_10_g","Rhizomes_0_10_g","TotalBG_10_30_g","Rhizomes_10_30_g","area","bg.total","ag.total","rhiz.total","rhiz.shoot","rhiz.green.shoot","rhizm2.core","rootgreenshoot","rootshoot","bgm2.core","agm2.core","percentN","percentC","CN_ratio","agm2.allom","agm2.allom.new","bgm2.areascaled","agm2.core.areascaled","rhizm2.areascaled","bgm2.core.stemscaled","agm2.core.stemscaled","bgm2.allometric.rootshoot","bgm2.allometric.rootgreenshoot","bgm2.allo.new.rootshoot","bgm2.allo.new.rootgreenshoot","rhizm2.allometric.rootshoot","rhizm2.allometric.rootgreenshoot","rhizm2.allo.new.rootshoot","rhizm2.allo.new.rootgreenshoot","rhizm2.core.stemscaled","AGCg","wholeplantCg"
"10s5",2014-03-26,"fluxa","s5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.6273811300737,147.900927319815,635.913688892329,241.208640614332,NA,348,132,196.932369504289,218.731143897412,380.105383211925,422.179885819621,NA,NA,NA,NA,NA,NA,NA
"10s6",2014-03-26,"fluxa","s6",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.669473325946,264.321785792063,635.913688892329,241.208640614332,NA,649.6,246.4,348.670546447681,387.265474232644,679.306989485602,754.500619891523,NA,NA,NA,NA,NA,NA,NA
"10t1",2014-03-26,"fluxa","t1",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.403021156241,634.028775885376,2057.948265605,1164.37989242009,NA,544.33,307.98,1104.80604231248,1167.32419687573,1268.05755177075,1339.81369265026,NA,NA,NA,NA,NA,NA,NA
"10t2",2014-03-26,"fluxa","t2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.762133009965,657.054935146164,2057.948265605,1164.37989242009,NA,807.11,456.66,1063.52426601993,1123.70639021037,1314.10987029233,1388.47199435536,NA,NA,NA,NA,NA,NA,NA
"10t3",2014-03-26,"fluxa","t3",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466.833753645138,568.684092772794,2057.948265605,1164.37989242009,NA,713.26,403.56,933.667507290276,986.501368887632,1137.36818554559,1201.72894869858,NA,NA,NA,NA,NA,NA,NA
"10t4",2014-03-26,"fluxa","t4",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.172906726339,457.461497796707,2057.948265605,1164.37989242009,NA,694.49,392.94,728.345813452678,769.561044359293,914.922995593414,966.696153108247,NA,NA,NA,NA,NA,NA,NA
"10t5",2014-03-26,"fluxa","t5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.783123774628,304.699646817169,2057.948265605,1164.37989242009,NA,506.79,286.74,477.566247549256,504.590502789555,609.399293634338,643.883644525852,NA,NA,NA,NA,NA,NA,NA
"10t6",2014-03-26,"fluxa","t6",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.238069253478,322.732237115329,2057.948265605,1164.37989242009,NA,544.33,307.98,500.476138506956,528.796806012455,645.464474230658,681.989661656839,NA,NA,NA,NA,NA,NA,NA
"11m1",2014-04-24,"fluxa","m1",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,36.53,21.37,182.866716681169,298.499421504792,1419.84177088891,561.358290884262,NA,1191.4,471.04,517.512808207708,551.178422272334,844.753362858561,899.706863994666,NA,NA,NA,NA,NA,66.801211603631,723.732382565739
"11m2",2014-04-24,"fluxa","m2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,37.84,26.03,160.765907670863,256.48999206224,1419.84177088891,561.358290884262,NA,984.2,389.12,454.967518708542,484.56439177885,725.866677536139,773.086276820909,NA,NA,NA,NA,NA,60.8338194626546,749.686103374967
"11m3",2014-04-24,"fluxa","m3",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8921563832732,142.185720423319,1419.84177088891,561.358290884262,NA,621.6,245.76,226.094802564663,240.802883687372,402.385588797993,428.561864481982,NA,NA,NA,NA,NA,NA,NA
"11m4",2014-04-24,"fluxa","m4",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.104187631852,328.628737559568,1419.84177088891,561.358290884262,NA,984.2,389.12,642.704850998141,684.514547546718,930.019327293577,990.51961105224,NA,NA,NA,NA,NA,NA,NA
"11m5",2014-04-24,"fluxa","m5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.070251103072,332.026639718614,1419.84177088891,561.358290884262,NA,880.6,348.16,730.338810621694,777.849334312809,939.635390403678,1000.76122519094,NA,NA,NA,NA,NA,NA,NA
"11m6",2014-04-24,"fluxa","m6",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.781244446237,255.798631199371,1419.84177088891,561.358290884262,NA,673.4,266.24,548.400921782851,584.075891547109,723.91012629422,771.002446605477,NA,NA,NA,NA,NA,NA,NA
"11s1",2014-04-24,"fluxa","s1",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,40.25,30.9,150.835139118314,243.849618518916,838.748227590744,309.185621151098,NA,550.8,203.04,404.992348532673,506.647192097203,654.73622572329,819.077870307624,NA,NA,NA,NA,NA,60.7111434951214,462.043374118591
"11s2",2014-04-24,"fluxa","s2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,39.4,26.25,101.78034790572,188.132717452179,838.748227590744,309.185621151098,NA,520.2,191.76,273.280234126858,341.874763258321,505.136346359101,631.927769589532,NA,NA,NA,NA,NA,40.1014570748537,452.285936404286
"11s3",2014-04-24,"fluxa","s3",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1834326581449,90.8382646838503,838.748227590744,309.185621151098,NA,306,112.8,113.262516687119,141.691901729254,243.900740676138,305.120888979027,NA,NA,NA,NA,NA,NA,NA
"11s4",2014-04-24,"fluxa","s4",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.288651132811,178.140719451454,838.748227590744,309.185621151098,NA,428.4,157.92,290.755028291598,363.735806875858,478.307831727154,598.365180924186,NA,NA,NA,NA,NA,NA,NA
"11s5",2014-04-24,"fluxa","s5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.6773096876701,166.023445577732,838.748227590744,309.185621151098,NA,520.2,191.76,235.413576511394,294.503409640184,445.77295137621,557.663903888345,NA,NA,NA,NA,NA,NA,NA
"11s6",2014-04-24,"fluxa","s6",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.525788773234,271.656102824305,838.748227590744,309.185621151098,NA,826.2,304.56,385.366742856133,482.095473909807,729.396636083259,912.478368876924,NA,NA,NA,NA,NA,NA,NA
"11t1",2014-04-24,"fluxa","t1",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,40.21,27.09,928.065303312676,999.468140533749,2191.70942085477,3530.41737626431,NA,659.67,1062.6,617.16342670293,642.63537896299,664.646313454943,692.078008908113,NA,NA,NA,NA,NA,373.175058462027,2300.86718512158
"11t2",2014-04-24,"fluxa","t2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99,40.61,20.45,729.868815987474,841.316930900219,2191.70942085477,3530.41737626431,NA,779.61,1255.8,485.36276263167,505.39495602429,559.475759048646,582.566790060125,NA,NA,NA,NA,NA,296.399726172513,2323.75569231006
"11t3",2014-04-24,"fluxa","t3",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557.621743468674,626.598705185628,2191.70942085477,3530.41737626431,NA,539.73,869.4,370.818459406668,386.123109174423,416.688138948443,433.885950619381,NA,NA,NA,NA,NA,NA,NA
"11t4",2014-04-24,"fluxa","t4",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.441943755749,648.767302304825,2191.70942085477,3530.41737626431,NA,579.71,933.8,380.008892597573,395.692855632056,431.430256032709,449.23651351611,NA,NA,NA,NA,NA,NA,NA
"11t5",2014-04-24,"fluxa","t5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.987786188015,478.487100126879,2191.70942085477,3530.41737626431,NA,479.76,772.8,273.97187781503,285.279415317026,318.193921584375,331.326618742626,NA,NA,NA,NA,NA,NA,NA
"11t6",2014-04-24,"fluxa","t6",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.236860733839,382.379703961076,2191.70942085477,3530.41737626431,NA,439.78,708.4,213.622512388003,222.439273397791,254.282503134116,264.777408535434,NA,NA,NA,NA,NA,NA,NA
"12m1",2014-05-27,"fluxa","m1",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,40.53,28.8,232.736394492886,297.041836539129,1456.02306698106,844.230242150161,NA,796.8,462,403.797644445157,NA,515.367586395389,NA,NA,NA,NA,NA,NA,94.3280606879667,932.292666190882
"12m2",2014-05-27,"fluxa","m2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,40.75,27,188.72879363091,251.049490587002,1456.02306698106,844.230242150161,NA,690.56,400.4,327.444456949629,NA,435.570866168448,NA,NA,NA,NA,NA,NA,76.9069834045958,937.353223470971
"12m3",2014-05-27,"fluxa","m3",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,40.62,31.65,107.89125977685,158.172408878207,1456.02306698106,844.230242150161,NA,531.2,308,187.191335712835,NA,274.429129403689,NA,NA,NA,NA,NA,NA,43.8254297213565,934.3628941691
"12m4",2014-05-27,"fluxa","m4",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,41.37,26.98,258.794546125122,334.822151747731,1456.02306698106,844.230242150161,NA,849.92,492.8,449.008537527087,NA,580.916433282313,NA,NA,NA,NA,NA,NA,107.063303731963,951.614793987584
"12m5",2014-05-27,"fluxa","m5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,41.89,25.31,386.257513009211,402.593466925651,1456.02306698106,844.230242150161,NA,743.68,431.2,670.156785070981,NA,698.499665116004,NA,NA,NA,NA,NA,NA,161.803272199558,963.576111195066
"12m6",2014-05-27,"fluxa","m6",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"med",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,39.92,29.1,229.010659779357,287.8091167965,1456.02306698106,844.230242150161,NA,743.68,431.2,397.333494717184,NA,499.348817641927,NA,NA,NA,NA,NA,NA,91.4210553839193,918.261121005182
"12s1",2014-05-27,"fluxa","s1",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,41.9,28.6,236.075378220289,350.177352476626,1551.4101203149,382.644616247281,NA,1245.2,307.12,978.532442723098,NA,1451.48512601561,NA,NA,NA,NA,NA,NA,98.9155834743011,810.368934619556
"12s2",2014-05-27,"fluxa","s2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,40.65,28.53,153.294519819333,244.51349252354,1551.4101203149,382.644616247281,NA,1018.8,251.28,635.405784651135,NA,1013.50842651007,NA,NA,NA,NA,NA,NA,62.3142223065589,786.193250412528
"12s3",2014-05-27,"fluxa","s3",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,39.9,27.97,157.046071524281,223.233278791568,1551.4101203149,382.644616247281,NA,735.8,181.48,650.955966468145,NA,925.301940591049,NA,NA,NA,NA,NA,NA,62.6613825381881,771.687839888312
"12s4",2014-05-27,"fluxa","s4",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,40.71,31.19,121.831275253609,193.531015855925,1551.4101203149,382.644616247281,NA,792.4,195.44,504.990635926209,NA,802.186060722809,NA,NA,NA,NA,NA,NA,49.5975121557442,787.353683254466
"12s5",2014-05-27,"fluxa","s5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,41.41,23.62,70.6893098210346,113.416123771747,1551.4101203149,382.644616247281,NA,509.4,125.64,293.007189208188,NA,470.109833033891,NA,NA,NA,NA,NA,NA,29.2724431968904,800.892066410401
"12s6",2014-05-27,"fluxa","s6",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"short",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,41.05,28.12,121.318611673851,207.831400297397,1551.4101203149,382.644616247281,NA,962.2,237.32,502.865645388112,NA,861.461154232711,NA,NA,NA,NA,NA,NA,49.8012900921158,793.929469358777
"12t1",2014-05-27,"fluxa","t1",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,40.72,22.45,1034.44295305489,1068.33836289557,2636.8490030794,2491.02741579891,NA,673.4,636.16,1096.50953023818,NA,1132.4386646693,NA,NA,NA,NA,NA,NA,421.225170483951,2088.07127776725
"12t2",2014-05-27,"fluxa","t2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,40.49,24.46,813.42480465374,880.141449513515,2636.8490030794,2491.02741579891,NA,697.45,658.88,862.230292932964,NA,932.949936484326,NA,NA,NA,NA,NA,NA,329.355703404299,2076.27716200383
"12t3",2014-05-27,"fluxa","t3",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62,40.49,25.02,535.558978578657,566.248582668807,2636.8490030794,2491.02741579891,NA,408.85,386.24,567.692517293376,NA,600.223497628935,NA,NA,NA,NA,NA,NA,216.847830426498,2076.27716200383
"12t4",2014-05-27,"fluxa","t4",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,39.59,25.86,638.3832051235,685.495036670308,2636.8490030794,2491.02741579891,NA,553.15,522.56,676.68619743091,NA,726.624738870526,NA,NA,NA,NA,NA,NA,252.735910908394,2030.12627423392
"12t5",2014-05-27,"fluxa","t5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86,41.26,22.21,610.587430822339,662.835040279033,2636.8490030794,2491.02741579891,NA,553.15,522.56,647.222676671679,NA,702.605142695775,NA,NA,NA,NA,NA,NA,251.928373957297,2115.76181042919
"12t6",2014-05-27,"fluxa","t6",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"tall",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,41.89,22.07,424.401948271301,467.633860960418,2636.8490030794,2491.02741579891,NA,408.85,386.24,449.866065167579,NA,495.691892618043,NA,NA,NA,NA,NA,NA,177.781976130848,2148.06743186812
